Time stamp;;;Electrical load [MWh];;;;Water consumption [m3/h];;;Solar data [Wh/m2];;;Wind speed [10 magl] [m/s];;;Temperature at 2m [¡C];;
Month;Hour of the day;Hour of the year;Load A;Load B;Load A + random;Load B + random;Regime1 (m?/h);Regime2 (m?/h);Regime3 (m?/h); IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 
1;4;124;4.8;4.7;4.8;4.7;0.0;107.4;7.2;0;0;0;1.225;4.4;3.482; 25.12 ;25.52;25.367
1;5;125;4.7;4.6;4.8;4.6;0.0;107.4;15.6;0;0;0;0.892;4.79;3.371; 24.96 ;26.84;25.148
1;6;126;4.6;4.3;4.6;4.4;0.0;107.4;40.9;0;0;0;0.633;4.56;3.342; 24.81 ;28.03;25.036
1;7;127;4.6;4.9;4.6;5.0;0.0;107.4;108.4;0;0;0;0.883;4.26;3.24; 24.65 ;29.12;24.929
1;8;128;4.8;5.1;4.8;5.1;0.0;107.4;183.7;32;37.4181;23.83;1.858;4.07;3.408; 24.50 ;30.02;25.033
1;9;129;4.8;5.7;4.9;5.8;286.3;107.4;69.5;190.2;207.2279;146.51;4.183;4.03;3.852; 25.07 ;30.61;26.094
1;10;130;5.0;6.2;5.0;6.2;286.3;107.4;80.7;327.4;434.8283;295.78;4.558;4.22;4.148; 25.63 ;30.84;27.426
1;11;131;4.9;5.5;4.9;5.5;286.3;107.4;67.4;437.5;624.6318;422.89;3.742;4.49;3.917; 26.20 ;30.74;28.893
1;12;132;4.8;5.5;4.7;5.5;286.3;107.4;216.7;450.5;765.082;474.78;4.183;4.63;3.615; 26.77 ;30.28;29.882
1;13;133;4.7;5.4;4.6;5.3;286.3;107.4;310.6;487.6;825.5979;589.59;4.1;4.67;4.001; 27.33 ;29.47;30.539
1;14;134;4.8;5.5;4.8;5.6;286.3;107.4;432.2;739.9;816.6692;545.28;4.017;4.41;4.225; 27.90 ;28.16;30.394
1;15;135;4.8;5.5;4.8;5.5;286.3;107.4;245.4;731.9;725.5411;583.88;4.763;4.55;4.738; 27.60 ;27.30;30.986
1;16;136;5.0;5.4;4.9;5.4;286.3;107.4;56.4;576.7;576.2185;426.14;4.642;4.4;4.888; 27.30 ;26.72;30.789
1;17;137;5.4;4.8;5.3;4.9;286.3;107.4;95.1;359.4;371.5023;253.24;4.95;4.09;5.21; 27.00 ;26.17;30.083
1;18;138;5.1;5.0;5.1;5.1;0.0;107.4;99.1;135.2;166.4212;156.75;4.467;3.73;4.942; 26.70 ;25.71;29.376
1;19;139;4.8;5.1;4.7;5.1;0.0;107.4;121.6;24;15.7669;18.31;3.617;3.33;4.455; 26.40 ;25.30;28.392
1;20;140;4.8;5.2;4.7;5.1;0.0;107.4;134.8;0;0;0;2.3;3.09;3.993; 26.25 ;24.90;27.888
1;21;141;5.1;5.3;5.1;5.3;0.0;107.4;121.6;0;0;0;1.675;2.88;3.968; 26.11 ;24.57;27.542
1;22;142;5.2;5.6;5.3;5.6;0.0;107.4;95.1;0;0;0;1.7;2.83;4.259; 25.96 ;24.32;27.229
1;23;143;5.1;5.5;5.1;5.4;0.0;107.4;40.9;0;0;0;1.65;3.07;4.385; 25.82 ;24.23;26.783
1;24;144;5.0;5.4;4.9;5.5;0.0;107.4;17.7;0;0;0;1.025;3.4;4.151; 25.67 ;24.14;26.344
1;1;145;4.6;4.0;4.5;4.1;0.0;107.4;9.6;0;0;0;1.333;3.55;3.877; 25.52 ;24.02;25.933
1;2;146;4.8;4.3;4.8;4.3;0.0;107.4;2.4;0;0;0;1.175;3.59;3.666; 25.38 ;23.90;25.56
1;3;147;4.8;4.6;4.8;4.5;0.0;107.4;3.6;0;0;0;0.908;3.89;3.751; 25.23 ;24.16;25.387
1;4;148;4.8;4.7;4.7;4.7;0.0;107.4;7.2;0;0;0;0.508;4.45;3.673; 25.08 ;25.40;25.116
1;5;149;4.7;4.6;4.8;4.6;0.0;107.4;15.6;0;0;0;0.392;4.78;3.551; 24.94 ;26.89;24.902
1;6;150;4.6;4.3;4.5;4.4;0.0;107.4;40.9;0;0;0;0.675;4.51;3.56; 24.79 ;28.20;24.74
1;7;151;4.6;4.9;4.7;5.0;0.0;107.4;108.4;0;0;0;0.483;4.09;3.587; 24.65 ;29.28;24.608
